timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg,ATTITUDE.time_boot_ms,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.yaw,ATTITUDE.rollspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed,VFR_HUD.airspeed,VFR_HUD.groundspeed,VFR_HUD.heading,VFR_HUD.throttle,VFR_HUD.alt,VFR_HUD.climb
1429524821.46000004,,,,,,,,,,1489397,0.0539600625634,-0.00481899967417,-0.217872262001,0.0189514905214,-0.00306890113279,-0.00199771206826,0.0,0.0961717069149,347,0,311.619842529,-0.105781495571
1429524822.08899999,,,,,,,,,,1489907,0.040708925575,-0.00620610686019,-0.21815264225,-0.10182915628,0.00774705130607,-0.000254364684224,0.0,0.0894129499793,347,0,311.619842529,-0.102577902377
1429524822.24799991,1490078,476027990,85340945,410657,-7022,-6,-2,9,34749,,,,,,,,,,,,,
1429524822.59599996,,,,,,,,,,1490417,0.0495465882123,-0.00582362757996,-0.217819526792,-0.038471467793,0.00268092891201,0.00166519358754,0.0,0.0562501400709,347,0,311.619842529,-0.0992180854082
1429524822.95700002,,,,,,,,,,1490927,0.0403141602874,-0.0070770313032,-0.217791795731,0.0337853245437,-0.0043042562902,-8.15596431494e-05,0.0,0.0341568030417,347,0,311.619842529,-0.101697251201
1429524823.06499982,1491088,476027998,85340945,410713,-6965,-2,-3,9,34751,,,,,,,,,,,,,
1429524823.40299988,,,,,,,,,,1491427,0.0398115590215,-0.00639306567609,-0.217654675245,-0.0217198412865,0.0229192450643,0.00148751586676,,,,,,
1429524823.49600005,,,,,,,,,,,,,,,,,0.0,0.0508035682142,347,0,311.619842529,-0.100812315941
1429524823.99899983,,,,,,,,,,1491927,0.0659479126334,-0.00449014734477,-0.217313587666,-0.0749503597617,0.0271093752235,-0.00706552434713,0.0,0.0537240169942,347,0,311.619842529,-0.0927416533232
1429524824.11699986,1492088,476028001,85340943,410742,-6937,-2,-4,9,34754,,,,,,,,,,,,,
1429524824.42400002,,,,,,,,,,1492437,0.0552667677402,-0.00615450041369,-0.217501357198,0.0299435779452,-0.00430925423279,0.00253104418516,,,,,,
1429524824.43899989,,,,,,,,,,,,,,,,,0.0,0.0469818487763,347,0,311.619842529,-0.0924677327275
1429524825.02099991,,,,,,,,,,1492937,0.0528052709997,-0.00496078655124,-0.217451795936,0.0142410816625,-0.00150962360203,-0.00392735004425,0.0,0.0540932863951,347,0,311.619842529,-0.0930513739586
1429524825.05399990,1493088,476028000,85340954,410767,-6912,-4,0,9,34754,,,,,,,,,,,,,
1429524825.50099993,,,,,,,,,,1493447,0.05500023067,-0.00558373983949,-0.217399150133,0.0046439380385,5.60759799555e-05,-0.00165937840939,0.0,0.0265976432711,347,0,311.619842529,-0.0919716507196
