timestamp panPosition tiltPosition panCtrlType panSetValue tiltCtrlType tiltSetValue local.lat local.lon local.elev object.lat object.lon object.elev object.x object.y object.z estObject.x estObject.y estObject.z estObject.lat estObject.lon estObject.elev curMode
1.43248829184e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.71017659002038 -2.84899572968925 -5.48361202959323 47.6028143771494 8.53408593200433 410.516391157964 8 
1.432488291943e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412.1 5.86569369538363 -2.77974165926494 -3.90000329762103 5.70939066103964 -2.83577267405311 -5.4894181352228 47.6028144960727 8.53408592155356 410.510585045944 8 
1.432488292045e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.8622056232745 -2.78316986437306 -5.03718560189434 47.6028149691635 8.53408795363063 410.962817694808 8 
1.432488292149e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.85441395204436 -2.78985655361154 -5.04287178847179 47.602814909026 8.5340878500196 410.957131503519 8 
1.43248829225e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.84585611352009 -2.79518073077487 -5.04838975926709 47.6028148611423 8.53408773622034 410.951613526697 8 
1.432488292352e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.83633427100721 -2.7991617349436 -5.05396740009065 47.6028148253387 8.53408760960211 410.946035879375 8 
1.432488292454e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.82607440607522 -2.80162196402397 -5.05959599878959 47.6028148032123 8.53408747316993 410.940407273053 8 
1.432488292556e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.8155912725353 -2.80240802596123 -5.06513216099846 47.6028147961429 8.53408733376882 410.934871099792 8 
1.432488292657e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.80491084329325 -2.80153555066891 -5.07070662380399 47.6028148039897 8.53408719174415 410.929296628463 8 
1.43248829276e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.7942425911248 -2.79895379099777 -5.07634716746726 47.6028148272092 8.53408704988144 410.923656074157 8 
1.432488292861e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.78415273736685 -2.79476259589033 -5.08189335687097 47.6028148649033 8.5340869157101 410.918109874057 8 
1.432488292962e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534088 412 5.86569360359522 -2.77974161491796 -4.00000329756683 5.77473003379264 -2.78903818591755 -5.08742535478035 47.6028149163866 8.53408679041031 410.912577862402 8 
1.432488293064e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.78579340236046 -2.78179466917317 -4.78113123878786 47.6028149815332 8.53408693752365 411.218871988246 8 
1.432488293165e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.77845425292136 -2.78290209477515 -4.78721694743653 47.6028149715735 8.53408683993019 411.21278627203 8 
1.432488293268e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.77079263712263 -2.78251368626267 -4.79338110087808 47.6028149750667 8.53408673804869 411.206622112814 8 
1.432488293371e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.76318857781983 -2.78056242630328 -4.79956264651378 47.6028149926157 8.53408663693258 411.200440558509 8 
1.432488293474e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.75597589600889 -2.777079533396 -4.80574545158422 47.6028150239396 8.5340865410209 411.194257745151 8 
1.432488293575e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.74958566630631 -2.77225988478788 -4.81180525186093 47.6028150672858 8.53408645604592 411.188197936309 8 
1.432488293678e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.74399294621203 -2.76606501240111 -4.81800994710675 47.6028151230002 8.53408638167597 411.181993234611 8 
1.432488293782e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.73960944994954 -2.75878334549433 -4.82421194356383 47.6028151884889 8.53408632338589 411.175791230252 8 
1.432488293883e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.7366949831007 -2.75084210229101 -4.83027342308687 47.6028152599095 8.53408628463047 411.16972974551 8 
1.432488293986e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602815 8.534087 412.1 5.79049249419537 -2.77974173435496 -3.90000322906125 5.73522337751735 -2.74216341472502 -4.83647475984003 47.6028153379624 8.53408626506175 411.163528402535 8 
1.432488294088e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.7862875888341 -2.89414180194757 -4.6251180154651 47.602813971125 8.53408694409182 411.37488526146 8 
1.43248829419e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.78028519001521 -2.90063329466598 -4.62975671217561 47.6028139127429 8.53408686427392 411.370246562818 8 
1.432488294293e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.77297295273646 -2.90594025374775 -4.63440566215481 47.6028138650141 8.53408676703826 411.365597608156 8 
1.432488294396e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.76452145787917 -2.90985310910212 -4.63910769321524 47.6028138298234 8.53408665465315 411.360895571737 8 
1.432488294501e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.75526261978449 -2.91211969194752 -4.64383041228683 47.6028138094386 8.53408653153228 411.356172844107 8 
1.432488294602e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.74577246145651 -2.9125810218734 -4.64845177825116 47.6028138052896 8.53408640533542 411.351551471056 8 
1.432488294703e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.73628472386203 -2.9112805775455 -4.65303036177138 47.6028138169854 8.53408627917077 411.346972875544 8 
1.432488294804e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.72703164503129 -2.90824645562942 -4.65761035171341 47.6028138442733 8.53408615612656 411.342392879363 8 
1.432488294906e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.71826658114382 -2.90351260083539 -4.66222132830372 47.6028138868479 8.53408603957183 411.337781890593 8 
1.432488295011e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534087 412 5.79049251386154 -2.89093147195499 -4.00000327812892 5.71011919777132 -2.89702557026246 -4.66696636865049 47.6028139451899 8.53408593123082 411.333036841104 8 
1.432488295112e+15 0 0 -1 0 -1 0 47.60284 8.53401 416 47.602814 8.534088 412 5.86569371553338 -2.8909313962231 -4.00000334727477 5.8637855507927 -2.90044108021544 -4.51809149474159 47.6028139144713 8.53408797463207 411.48191185512 8 
